Filtersize,,Adapter, 1,,Adapter, 11,,Adapter, 21,,Adapter, 31,,Adapter, 41,,Adapter, 51,,Adapter, 61,,Adapter, 71,,Adapter, 81,,Adapter, 91,,
Depth,Leafcount,Time for subscription,First EventHandling,Second EventHandling,Time for subscription,First EventHandling,Second EventHandling,Time for subscription,First EventHandling,Second EventHandling,Time for subscription,First EventHandling,Second EventHandling,Time for subscription,First EventHandling,Second EventHandling,Time for subscription,First EventHandling,Second EventHandling,Time for subscription,First EventHandling,Second EventHandling,Time for subscription,First EventHandling,Second EventHandling,Time for subscription,First EventHandling,Second EventHandling,Time for subscription,First EventHandling,Second EventHandling,
14,54,12669767,14298256,15324573,2705066,158033563,170366346,2186527,312741284,327689762,2692935,475936676,483420448,2620911,639007122,639552233,2624057,784990271,795447746,2333314,948488845,951499492,2393180,1107762090,1107438795,2407067,1254169873,1263309862,2348018,1422421635,1419569107,
19,324,18060256,2547530,16416681,17655653,164070923,171460060,14538180,318026384,327507197,14509534,470802854,483546512,14936674,635409249,639420443,14161041,790637008,795481968,13970491,941056684,951570521,13911015,1101660756,1107343601,14259279,1261669290,1263379703,13708755,1418629811,1419363145,
24,594,36637477,10790338,15569576,31837578,164153754,171538212,29899217,323310086,327421223,29673966,469042434,483434487,30573363,634208258,639545249,30230918,782443508,795541751,29420920,950508375,951462058,29693180,1102121359,1107560877,29826801,1249114832,1263493475,29722785,1412235423,1419581400,
29,864,59388065,512774,15722529,51264222,168583787,171562587,48448223,323657406,327490994,48304913,468579946,483502233,48516724,631661566,639543224,48265253,783170906,795440203,47979095,941764736,951522889,48065288,1094942723,1107581341,48151313,1262341233,1263474967,48034031,1415137259,1419522174,
34,1134,87849992,14340300,15511259,71252555,167467025,160264084,70047603,327484917,327620061,69267431,473766289,483492175,69880972,629413933,639411922,70038566,795923364,795510812,69456673,941921668,951521352,69084341,1100317778,1107516388,69342252,1261797729,1263663469,69413236,1419461691,1419545919,
39,1404,147470559,10453214,15568878,95697155,163606059,171555603,90277611,319934797,327563070,91487519,471421647,483464588,89916726,634652379,639412411,90902116,792710107,795480710,90515506,936477122,951513740,90520798,1106133740,1107524001,90484321,1249807098,1263484954,90530310,1416730688,1419471469,
44,1674,128615508,8274026,15473335,118369291,164061843,171437710,115043518,314520351,327554410,116431762,478009007,483565229,116884517,636578951,639426659,116043403,789730259,795490139,115651587,947665276,951419385,115810992,1105534084,1107448502,116435353,1253733296,1263425729,116105654,1413725208,1419497101,
49,1944,190152729,1434261,15465513,140715135,167738078,171555463,140766760,320434370,327429882,139764778,472322320,483561039,139771024,634207769,639441605,140109630,793900831,795517656,139824472,939432246,951500820,139905673,1095177949,1107531823,140161805,1250569067,1263533214,139429033,1413007869,1419512256,
54,2214,212092948,3395404,15553164,169707691,160851170,171540797,169464604,326053801,328221883,165596726,482134042,483467940,166754122,635537897,639523948,166031160,782989459,795489301,165548097,945810012,951548032,166038867,1096144761,1106920922,165711762,1255580598,1263455760,165748820,1404595835,1419517844,
